latitude,longitude
-30.8867,146.1195
-31.2342,152.7857
-32.4883,146.6157
-28.7605,147.7137
-28.7696,152.8455
-33.9496,148.6204
-28.8993,150.8837
-28.4463,150.855
-28.1603,151.2815
-32.3506,149.0043
-38.5171,146.5608
-37.4127,145.129
-34.5336,148.2361
-35.0728,146.7895
-35.2771,142.1905
-35.5821,148.0299
-29.381,148.1449
-36.7891,146.9932
-32.6008,148.725
-41.4899,145.7431
-35.5776,144.5949
-33.7876,145.5338
-28.8866,150.7256
-34.4554,146.3336
-34.6135,148.2866
-37.5325,145.196
-31.5295,152.4268
-37.503,146.3468
-36.3064,142.2864
-31.9693,149.6921
-37.524,148.4927
-28.711,152.2964
-29.9636,151.5094
-34.4847,148.3258
-35.2177,145.9639
-37.4669,148.4477
-33.686,150.777
-34.0097,149.8471
-40.984,145.4001
-33.4053,145.7886
-33.0123,150.688
-37.8813,143.4353
-36.5009,146.7578
-35.9415,148.2011
-33.765,145.7695
-33.17,150.542
-37.7375,146.4888
-33.8033,147.7621
-36.1082,146.3693
-35.4979,145.0112
-30.197,140.8772
-27.4236,148.0043
-32.1002,151.892
-42.6891,147.6132
-36.8417,149.8549
-35.0722,146.7859
-36.2924,146.1104
-27.7698,148.6202
-34.4612,150.881
-34.4683,146.0639
-37.6479,143.4585
-28.0276,147.4471
-28.6405,150.2363
-33.5278,149.531
-34.752,143.1877
-34.0312,147.4858
-34.8492,143.7236
-37.8083,143.1985
-29.4901,152.6332
-32.7291,148.6673
-34.4651,150.874
-36.471,146.709
-36.4198,141.1442
-28.6281,151.9709
-30.8083,146.5931
-28.3345,151.2967
-34.4516,150.8629
-31.9049,146.9613
-32.3876,146.0064
-29.3888,145.2847
-38.0649,141.28
-34.4774,149.1029
-34.544,140.6603
-27.4168,143.7725
-37.7275,145.8959
-27.4035,141.3324
-30.0986,153.1919
-32.4149,147.033
-27.4702,150.9692
-27.909,147.6019
-36.385,140.7991
-37.2786,143.9359
-30.5729,149.8716
-27.8688,149.2516
-34.4,147.537
-37.0749,149.6001
-30.9983,152.8729
-35.2002,147.2036
-28.2162,148.8465
-34.6621,142.8303
-37.1277,142.7773
-36.6583,140.956
-34.8023,145.8988
-37.9036,145.242
-27.7289,149.0839
-35.6819,140.7315
-37.6527,143.1933
-33.1544,150.6758
-36.1698,142.7239
-34.0255,145.8436
-29.0795,150.0481
-28.2707,150.1877
-28.3309,149.8935
-36.9384,142.4845
-34.6338,142.5378
-35.1778,148.1348
-27.7205,148.6378
-34.8597,147.5193
-35.8645,145.6999
-35.4941,147.018
-32.8227,142.6715
-30.3945,151.4044
-34.7194,147.0487
-34.6753,146.8054
-31.1277,147.1048
-31.0666,148.1989
-37.8045,144.7992
-37.0428,142.5173
-37.9621,140.9122
-27.49,148.1209
-31.8476,145.8084
-35.5478,146.3126
-37.1893,148.5832
-34.4539,150.8652
-27.4489,147.6753
-28.4202,148.3727
-37.7507,142.7263
-28.3759,151.9126
-37.2463,148.9307
-42.6281,147.3541
-28.6945,149.1242
-36.0399,143.767
-35.2392,149.5684
-28.5223,142.0057
-29.3934,148.5019
-34.4572,145.2517
-37.0563,142.9953
-28.4761,153.2638
-29.5212,152.2916
-29.61,148.2045
-27.8292,149.2899
-37.6226,148.4372
-37.6848,140.5676
-37.2649,142.1882
-36.8559,142.8295
-30.1991,152.2684
-35.1219,148.5182
-28.8995,140.676
-29.0554,148.7969
-32.6836,150.7636
-41.3992,148.0719
-33.585,150.7638
-34.7075,141.1365
-37.4267,148.6096
-35.3464,147.3747
-36.8532,141.9821
-29.5474,149.2724
-37.7652,148.401
-36.1781,145.9684
-35.8676,144.9445
-33.3893,149.8542
-38.2563,146.4255
-31.6669,148.7789
-36.6563,147.7697
-37.4348,146.0532
-34.5533,145.4501
-28.8704,150.021
-37.0224,145.5054
-36.3722,145.7251
-28.948,150.8315
-29.2605,151.4943
-36.1542,147.9521
-31.7916,151.9252
