mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_activation,param_hidden_layer_sizes,param_max_iter,params,split0_test_r2,split1_test_r2,split2_test_r2,split3_test_r2,split4_test_r2,split5_test_r2,split6_test_r2,split7_test_r2,split8_test_r2,split9_test_r2,mean_test_r2,std_test_r2,rank_test_r2,split0_test_neg_mean_squared_error,split1_test_neg_mean_squared_error,split2_test_neg_mean_squared_error,split3_test_neg_mean_squared_error,split4_test_neg_mean_squared_error,split5_test_neg_mean_squared_error,split6_test_neg_mean_squared_error,split7_test_neg_mean_squared_error,split8_test_neg_mean_squared_error,split9_test_neg_mean_squared_error,mean_test_neg_mean_squared_error,std_test_neg_mean_squared_error,rank_test_neg_mean_squared_error
1269.8544898748398,1039.3795337049553,0.43586995601654055,0.2277171024656382,relu,"(50, 100, 200, 400, 200, 100, 50)",500,"{'activation': 'relu', 'hidden_layer_sizes': (50, 100, 200, 400, 200, 100, 50), 'max_iter': 500}",0.09305514695936357,0.00809342944380631,0.17395569755526175,0.27994435468263157,0.3950063090677657,0.24944911477156206,0.23464922184258485,0.20210941720480735,0.22514903661099916,0.03973924423194308,0.19011509723707254,0.11061252349920762,30,-0.5735983964718026,-0.8163346030273121,-1.529533072034119,-0.9106524794485995,-0.5914636858723262,-0.813195777110338,-1.1763013875390045,-0.4855383302310282,-0.2677492108615351,-0.7650110172241432,-0.7929377959820207,0.34119697577723695,31
1123.7430220842361,502.1978197686258,0.4057767868041992,0.15518570498269735,relu,"(50, 100, 200, 400, 200, 100, 50)",1000,"{'activation': 'relu', 'hidden_layer_sizes': (50, 100, 200, 400, 200, 100, 50), 'max_iter': 1000}",-0.2601150361357414,0.28156108326816065,-0.052079486511127815,0.20552515911971214,0.33518709619796005,0.12981308540120173,0.0838863231981627,0.04437635265630879,0.09966824867905222,0.2727097192633515,0.11405325451370407,0.16861798367879852,37,-0.7969613165279006,-0.5912719658271812,-1.9480678751308227,-1.0047702402059264,-0.6499451091669033,-0.942817253533772,-1.4080155399591396,-0.5815232314624786,-0.31110900975772027,-0.5794104092471799,-0.8813891950819024,0.45665388573276433,38
972.8324233055115,344.4789909582023,0.357684850692749,0.07118554484962866,relu,"(50, 100, 200, 400, 200, 100, 50)",1500,"{'activation': 'relu', 'hidden_layer_sizes': (50, 100, 200, 400, 200, 100, 50), 'max_iter': 1500}",-0.2162558405950452,0.11076239681181455,0.12894150316621866,0.22925183538983795,0.12472442740051315,0.10278876115571078,0.24747866597285373,0.2067279347981431,0.16635152924159657,0.13592531193010948,0.1236696525271753,0.12309660673538231,36,-0.7692225139443222,-0.7318385091335183,-1.6128829587475138,-0.9747631751756384,-0.8557010165279402,-0.972097168844251,-1.1565832486640149,-0.4827278354479528,-0.28806664859165937,-0.688382454564921,-0.8532265529641732,0.3469367328818118,35
192.02661728858948,42.72332172459699,0.030193233489990236,0.004276745744149757,relu,"(50, 100, 50)",500,"{'activation': 'relu', 'hidden_layer_sizes': (50, 100, 50), 'max_iter': 500}",-0.21712787551771662,0.2099855053973606,0.11531490602664485,0.23086819547897008,0.036586102684463606,0.06983765481449222,0.1807712869549929,-0.07546047284118962,0.180648231491636,0.16946533023925892,0.09008888647289129,0.13513573441646745,40,-0.769774033512061,-0.6501783413690295,-1.6381144516863055,-0.9727189688251678,-0.9418682265079956,-1.0077985463992678,-1.2591087634178013,-0.6544472305757477,-0.28312643308411456,-0.6616621253519708,-0.8838797120729461,0.35592677623900065,39
212.19288790225983,53.13214290539173,0.03389101028442383,0.0037185900863400496,relu,"(50, 100, 50)",1000,"{'activation': 'relu', 'hidden_layer_sizes': (50, 100, 50), 'max_iter': 1000}",-0.24847219554978217,0.047098764838839347,0.016981807607301613,0.14110977145939252,0.1273970374754374,0.09726107443676602,0.07248590115691322,0.0676393913124439,0.191577949987772,0.1894919408088802,0.0702571443533964,0.11955113262092516,42,-0.7895977875679057,-0.784233389131938,-1.8201915214788587,-1.0862362114388275,-0.8530881763785191,-0.9780862251301105,-1.4255373517196728,-0.5673670336218795,-0.279349676468262,-0.645707523821719,-0.9229394896757693,0.41794360638178524,44
196.0978436231613,37.667827861334175,0.032598471641540526,0.004485202222175509,relu,"(50, 100, 50)",1500,"{'activation': 'relu', 'hidden_layer_sizes': (50, 100, 50), 'max_iter': 1500}",-0.6299369794690235,0.12231146144708593,0.1005899546389426,0.1993748574192108,0.1142311709442746,0.06345240523286111,0.09267065987343592,-0.06380708451689632,0.16637344741751836,0.15681822036636517,0.032207811335377465,0.2309290312984586,44,-1.0308556629866392,-0.7223336813864005,-1.6653796964981504,-1.012548510578975,-0.8659596030775735,-1.014716742217527,-1.394514505251093,-0.6473558237707079,-0.2880590747812315,-0.67173769944025,-0.931346099998855,0.3723712826692639,45
45.646196603775024,10.142981723873875,0.006789112091064453,0.0020352048744330413,relu,"(25, 11, 7, 5, 3)",500,"{'activation': 'relu', 'hidden_layer_sizes': (25, 11, 7, 5, 3), 'max_iter': 500}",-0.015220566710043348,0.1993954880361536,0.18132144234965686,0.23982323093507718,0.35880249034935496,0.10112681094505072,0.16112604056046032,0.41807975649026063,0.28375452367231324,0.3421638980210189,0.22703731146493028,0.12338329360157056,26,-0.6420775057907339,-0.658893877564909,-1.5158943964451133,-0.9613935590534554,-0.626857846807871,-0.9738978340885069,-1.2893024095888663,-0.3541144480882755,-0.24749812561516488,-0.524078342803027,-0.7794008345845923,0.381968634972577,30
43.28251428604126,11.035693783374466,0.0066623687744140625,0.001430523451119197,relu,"(25, 11, 7, 5, 3)",1000,"{'activation': 'relu', 'hidden_layer_sizes': (25, 11, 7, 5, 3), 'max_iter': 1000}",0.16334404576856731,0.2781384092207131,0.17877060586157223,0.22351031959389855,0.31623474631137016,0.24088376463533323,0.2829018930219003,0.4134845926233133,0.06510194912951162,0.21156603777704608,0.23739363639432262,0.08968361211762373,25,-0.5291440952962033,-0.5940888110248577,-1.5206176162026126,-0.9820244550911107,-0.6684736110139086,-0.8224760360472558,-1.1021397277085394,-0.3569107314875349,-0.32305337049815674,-0.628121751129786,-0.7527050205499966,0.3476000484801085,26
53.07821624279022,14.324951012749564,0.006568288803100586,0.0011999197139441367,relu,"(25, 11, 7, 5, 3)",1500,"{'activation': 'relu', 'hidden_layer_sizes': (25, 11, 7, 5, 3), 'max_iter': 1500}",0.25617220140204633,0.20931108172933555,0.14507340816569525,0.2984083197624676,0.4604105294224303,0.04677737349500932,0.34691950618933143,-0.08553275289702134,0.17373172353613153,0.3208314855635541,0.21721028763689798,0.1492235175740686,27,-0.47043481320448083,-0.6507333889850573,-1.583012548481882,-0.8873011514092309,-0.5275221575185888,-1.032783559084014,-1.0037482327954759,-0.660576489581156,-0.285516427592096,-0.541073237633314,-0.7642702006285296,0.35496178980178933,27
397.43057923316957,95.98984093923276,0.12599456310272217,0.020207820544767576,relu,"(50, 100, 150, 150, 100, 50)",500,"{'activation': 'relu', 'hidden_layer_sizes': (50, 100, 150, 150, 100, 50), 'max_iter': 500}",-0.04446731512019242,0.11504616575445792,0.16488979573068252,0.2358204808936315,0.2637276041724589,0.10995776367291565,0.13785426931191458,-0.25345060897375715,0.12168892734680448,0.1772896235509981,0.10283567063399142,0.14261308852108825,39,-0.6605746480743387,-0.7283129867475817,-1.5463198189767093,-0.9664558264956458,-0.7198064898349229,-0.964329803982227,-1.325069821854467,-0.7627591161386125,-0.3034997795773274,-0.6554287449399118,-0.8632557036621744,0.3387034443306356,36
